Date,NSW_gov_final_exp,NSW_Household_cons_exp,NSW_Priv_Gross_fixed_cap_ form,NSW_Pub_Gross_fixed_cap_ form,NSW_SFD,Vic_gov_final_exp ,Vic_Household_cons_exp,Vic_Priv_Gross_fixed_cap_ form,Vic_Pub_Gross_fixed_cap_ form,Vic_SFD,queensland_gov_final_exp,queensland_Household_cons_exp,queensland_Priv_Gross_fixed_cap_ form,queensland_Pub_Gross_fixed_cap_ form,queensland_SFD,SA_gov_final_exp,SA_Household_cons_exp,SA_Priv_Gross_fixed_cap_ form,SA_Pub_Gross_fixed_cap_ form,SA_SFD,WA_gov_final_exp ,WA_Household_cons_exp,WA_Priv_Gross_fixed_cap_ form,WA_Pub_Gross_fixed_cap_ form,WA_SFD,Tas_gov_final_exp ,Tas_Household_cons_exp,Tas_Priv_Gross_fixed_cap_ form,Tas_Pub_Gross_fixed_cap_ form,Tas_SFD,NT_gov_final_exp ,NT_Household_cons_exp,NT_Priv_Gross_fixed_cap_ form,NT_Pub_Gross_fixed_cap_ form,NT_SFD,ACT_gov_final_exp ,ACT_Household_cons_exp,ACT_Priv_Gross_fixed_cap_ form,ACT_Pub_Gross_fixed_cap_ form,ACT_SFD
Dec-85,8.2,1.3,-3.6,-1.2,2.3,1.4,1.8,-5.3,1.8,0.6,7.7,1.4,-4.9,0.2,1.4,9.8,1.6,-4.8,1,2.4,8.8,-0.2,-5,-8.7,0.3,8.6,1.2,-6.2,8.2,3,7,-4.8,-11.5,-3.2,-3.2,-10.4,-0.3,-2.8,10.4,-6.7
Mar-86,5.3,-2.5,-1.2,-1.6,-0.5,6.7,-0.5,-2.8,0,0.5,-0.1,-0.7,-2.3,9.6,0.3,1.9,-1.4,-0.8,-4.8,-0.6,9.2,1.1,0.7,3.7,3.1,3.8,-2.8,1.9,0.1,0.2,-7.7,-0.3,15.7,12.6,3.1,-11.2,-1.3,3.1,-15.5,-6.8
Jun-86,6.4,1.6,2.6,3.4,2.8,2.1,3,1.4,-3.3,2,2.7,1.6,-3.7,-12,-0.7,6.3,2.6,-3.5,12.8,2.9,6.8,0.2,0.5,-8,0.9,4.7,0.5,1.8,-4,1.2,16.3,1.9,0.9,-8.6,4,-5.1,1.6,12.1,27,2.6
Sep-86,-0.1,1.4,-1,1.3,0.4,0.2,-0.1,-0.6,-3.8,-0.6,3.6,0.9,-2.2,2.7,0.7,2.6,-1.4,-1.6,-8.3,-1.3,-1.3,0.7,-1,7.2,0.1,0.5,1.4,-6.3,-8.7,-1.5,-3,4.5,-25.7,0.8,-6.6,7.8,7.1,-5.1,15.4,7.4
Dec-86,-3,-0.1,5,2.7,0.2,-3.9,0,7,0.6,0.5,-4.6,0,6.2,2,0.5,-5.8,-0.2,6.9,8.3,0.3,-7.3,0.4,1.4,3.9,-0.8,-6.2,-0.7,9.3,6.4,0.4,-5.2,-4.7,-4,-9.4,-5.2,8.4,-4.1,1.3,-10.1,0.6
Mar-87,-4.4,-0.5,-4.1,0.3,-1.9,1.7,1.1,-7.5,-0.7,-0.6,-1.7,0.2,0,-2.7,-0.5,-3.4,1.5,-7.8,-12.8,-2.4,-4.3,1.7,3.9,1.7,1,-1.6,-1.3,-11.9,-6,-3.9,-1.4,-2.7,-6.1,9.3,-1.6,2.1,0.2,-0.5,-19.1,-0.6
Jun-87,-0.1,0.8,5.1,-0.3,1.3,-1.6,-0.1,16.7,1.8,2.8,-0.2,-0.2,6.6,4.6,1.7,-3.2,0.9,8.2,5.8,1.6,3.9,0.8,-4.2,-8.7,-0.6,-0.3,2.5,9.2,0.4,2.8,-0.1,6.7,-1.4,-16,-0.2,11.5,-0.3,7.3,-13.5,3.7
Sep-87,3.1,1.5,3.2,-8.6,1.4,4.6,1,-5.7,-5,-0.1,-0.9,2.4,7.3,-5.8,2.1,8.9,1.5,0.7,-6.4,2.3,-4.3,1.7,7.3,-7.9,1.3,-0.8,0.5,-5.4,0.1,-0.8,-2.1,4.8,7.4,6,3.3,-0.3,2.5,4.1,33.2,3.8
Dec-87,4.5,1.1,9.6,4.6,3.5,2.7,0.6,1.4,4.4,1.4,4,1.8,5.2,0.3,2.8,-0.1,0.2,4,3.5,1,10,1.6,8.4,15.8,5.6,7.8,1.3,3.4,-0.8,2.8,4,-3.7,2.3,-40.2,-4.4,-0.7,0.6,-1.7,1.2,-0.4
Mar-88,2,1.6,1.9,-5.6,1.1,-2.4,0.7,5.9,-9.1,0.5,5.4,1.1,5.4,-11.7,1.8,2.9,-0.5,5.1,-7.2,0.9,2.8,-0.8,4,-7.6,0.5,3.3,0.4,2.5,-13.1,0.3,8.6,-1.7,3.9,35.9,5.7,-1.3,1.4,1.1,-12,-1
Jun-88,-1,-0.7,6.5,-16,-0.4,1.7,0.3,6.9,-17.1,0.9,-0.7,1,7.7,-21,0.7,-5.2,-1.2,9,-26.3,-1.4,0.1,0.3,5.3,-12.7,0.8,-3.4,-0.8,5.1,-4.9,-0.5,-6.3,-0.7,-3.4,-27.7,-5.7,-6.6,-1.6,-6.1,-12.5,-5.2
