Date,Price
2000:01:03,7649.11
2000:01:04,7370.64
2000:01:05,7387.27
2000:01:06,7476.86
2000:01:07,7653.59
2000:01:10,7704.07
2000:01:11,7637.23
2000:01:12,7644.99
2000:01:13,7717.19
2000:01:14,7769.00
2000:01:17,7769.00
2000:01:18,7678.57
2000:01:19,7709.61
2000:01:20,7664.33
2000:01:21,7637.72
2000:01:24,7440.97
2000:01:25,7462.42
2000:01:26,7499.50
2000:01:27,7499.73
2000:01:28,7297.99
2000:01:31,7468.06
2000:02:01,7492.14
2000:02:02,7500.80
2000:02:03,7539.03
2000:02:04,7498.29
2000:02:07,7470.15
2000:02:08,7551.19
2000:02:09,7394.39
2000:02:10,7356.71
2000:02:11,7226.63
2000:02:14,7232.69
2000:02:15,7309.20
2000:02:16,7210.65
2000:02:17,7127.58
2000:02:18,6935.05
2000:02:21,6935.05
2000:02:22,6993.08
2000:02:23,6971.60
2000:02:24,6928.07
2000:02:25,6822.51
2000:02:28,6951.99
2000:02:29,7060.72
2000:03:01,7136.68
2000:03:02,7187.44
2000:03:03,7301.67
2000:03:06,7193.25
2000:03:07,6967.74
2000:03:08,7011.16
2000:03:09,7176.32
2000:03:10,7125.58
2000:03:13,7080.53
2000:03:14,6983.55
2000:03:15,7198.96
2000:03:16,7553.88
2000:03:17,7574.10
2000:03:20,7563.89
2000:03:21,7722.55
2000:03:22,7720.39
2000:03:23,7838.59
2000:03:24,7843.25
2000:03:27,7816.06
2000:03:28,7773.13
2000:03:29,7835.16
2000:03:30,7751.28
2000:03:31,7721.99
2000:04:03,7967.94
2000:04:04,7894.69
2000:04:05,7839.00
2000:04:06,7936.64
2000:04:07,7941.24
2000:04:10,7977.76
2000:04:11,7994.10
2000:04:12,7870.11
2000:04:13,7724.22
2000:04:14,7318.05
2000:04:17,7465.81
2000:04:18,7641.91
2000:04:19,7624.43
2000:04:20,7713.99
2000:04:21,7713.99
2000:04:24,7769.07
2000:04:25,7957.98
2000:04:26,7891.37
2000:04:27,7835.23
2000:04:28,7699.64
2000:05:01,7760.75
2000:05:02,7701.69
2000:05:03,7527.79
2000:05:04,7486.18
2000:05:05,7572.99
2000:05:08,7614.63
2000:05:09,7565.77
2000:05:10,7474.59
2000:05:11,7554.57
2000:05:12,7627.19
2000:05:15,7818.22
2000:05:16,7855.62
2000:05:17,7759.34
2000:05:18,7737.37
2000:05:19,7627.96
2000:05:22,7556.53
2000:05:23,7482.53
2000:05:24,7554.73
2000:05:25,7486.08
2000:05:26,7455.18
2000:05:29,7455.18
2000:05:30,7614.04
2000:05:31,7663.54
2000:06:01,7749.61
2000:06:02,7851.29
2000:06:05,7822.12
2000:06:06,7792.20
2000:06:07,7851.27
2000:06:08,7791.21
2000:06:09,7722.08
2000:06:12,7691.51
2000:06:13,7800.30
2000:06:14,7857.78
2000:06:15,7887.60
2000:06:16,7768.90
2000:06:19,7850.19
2000:06:20,7788.28
2000:06:21,7785.78
2000:06:22,7688.05
2000:06:23,7670.47
2000:06:26,7736.95
2000:06:27,7720.28
2000:06:28,7710.86
2000:06:29,7691.71
2000:06:30,7743.24
2000:07:03,7803.85
2000:07:04,7803.85
2000:07:05,7749.45
2000:07:06,7738.86
2000:07:07,7857.70
2000:07:10,7883.51
2000:07:11,7918.27
2000:07:12,7915.64
2000:07:13,7896.09
2000:07:14,7940.20
2000:07:17,7940.97
2000:07:18,7874.77
2000:07:19,7875.21
2000:07:20,7915.22
2000:07:21,7873.65
2000:07:24,7827.31
2000:07:25,7838.31
2000:07:26,7710.26
2000:07:27,7765.29
2000:07:28,7671.43
2000:07:31,7676.03
2000:08:01,7790.65
2000:08:02,7823.54
2000:08:03,7843.19
2000:08:04,7908.55
2000:08:07,7969.63
2000:08:08,7996.60
2000:08:09,7901.76
2000:08:10,7881.38
2000:08:11,7940.65
2000:08:14,8036.88
2000:08:15,7985.50
2000:08:16,7944.62
2000:08:17,8006.49
2000:08:18,7978.91
2000:08:21,8025.26
2000:08:22,8014.91
2000:08:23,8034.11
2000:08:24,8047.26
2000:08:25,8062.04
2000:08:28,8105.56
2000:08:29,8074.00
2000:08:30,8015.22
2000:08:31,8049.61
2000:09:01,8073.89
2000:09:04,8073.89
2000:09:05,8051.27
2000:09:06,7999.07
2000:09:07,8010.05
2000:09:08,8035.68
2000:09:11,8051.81
2000:09:12,8039.72
2000:09:13,8039.08
2000:09:14,8009.27
2000:09:15,7927.46
2000:09:18,7861.51
2000:09:19,7889.44
2000:09:20,7810.13
2000:09:21,7864.76
2000:09:22,7942.33
2000:09:25,7941.89
2000:09:26,7871.99
2000:09:27,7873.70
2000:09:28,8018.39
2000:09:29,7961.26
2000:10:02,8001.99
2000:10:03,7982.24
2000:10:04,8011.12
2000:10:05,8075.62
2000:10:06,7936.31
2000:10:09,7885.64
2000:10:10,7846.93
2000:10:11,7702.04
2000:10:12,7478.75
2000:10:13,7641.22
2000:10:16,7703.05
2000:10:17,7566.66
2000:10:18,7519.68
2000:10:19,7643.54
2000:10:20,7671.35
2000:10:23,7704.56
2000:10:24,7757.13
2000:10:25,7684.87
2000:10:26,7629.57
2000:10:27,7726.58
2000:10:30,7891.71
2000:10:31,8010.70
2000:11:01,7983.22
2000:11:02,7993.16
2000:11:03,7972.08
2000:11:06,8043.25
2000:11:07,8040.42
2000:11:08,7999.70
2000:11:09,7931.96
2000:11:10,7798.97
2000:11:13,7689.63
2000:11:14,7812.33
2000:11:15,7830.47
2000:11:16,7789.98
2000:11:17,7727.35
2000:11:20,7615.16
2000:11:21,7622.59
2000:11:22,7513.44
2000:11:23,7513.44
2000:11:24,7556.53
2000:11:27,7637.51
2000:11:28,7628.24
2000:11:29,7684.35
2000:11:30,7590.55
2000:12:01,7572.99
2000:12:04,7660.50
2000:12:05,7874.58
2000:12:06,7775.71
2000:12:07,7768.15
2000:12:08,7874.74
2000:12:11,7880.78
2000:12:12,7859.96
2000:12:13,7876.79
2000:12:14,7785.71
2000:12:15,7628.90
2000:12:18,7708.40
2000:12:19,7629.70
2000:12:20,7416.41
2000:12:21,7465.77
2000:12:22,7572.87
2000:12:25,7572.87
2000:12:26,7643.92
2000:12:27,7715.55
2000:12:28,7775.63
2000:12:29,7744.88
2001:01:01,NA
2001:01:02,7580.61
2001:01:03,7819.04
2001:01:04,7728.14
2001:01:05,7576.54
2001:01:08,7546.82
2001:01:09,7553.82
2001:01:10,7606.08
2001:01:11,7646.24
2001:01:12,7618.90
2001:01:15,7618.90
2001:01:16,7703.15
2001:01:17,7669.14
2001:01:18,7745.67
2001:01:19,7704.72
2001:01:22,7693.90
2001:01:23,7758.56
2001:01:24,7775.01
2001:01:25,7790.25
2001:01:26,7744.40
2001:01:29,7762.56
2001:01:30,7841.43
2001:01:31,7832.24
2001:02:01,7879.44
2001:02:02,7783.45
2001:02:05,7830.85
2001:02:06,7796.81
2001:02:07,7740.31
2001:02:08,7714.44
2001:02:09,7653.64
2001:02:12,7755.98
2001:02:13,7705.11
2001:02:14,7625.02
2001:02:15,7663.09
2001:02:16,7586.13
2001:02:19,7586.13
2001:02:20,7495.59
2001:02:21,7341.86
2001:02:22,7329.76
2001:02:23,7271.07
2001:02:26,7409.42
2001:02:27,7403.00
2001:02:28,7303.20
2001:03:01,7273.16
2001:03:02,7259.38
2001:03:05,7279.75
2001:03:06,7324.90
2001:03:07,7352.85
2001:03:08,7401.96
2001:03:09,7263.91
2001:03:12,6952.71
2001:03:13,7039.05
2001:03:14,6833.95
2001:03:15,6906.94
2001:03:16,6764.45
2001:03:19,6877.53
2001:03:20,6733.43
2001:03:21,6597.64
2001:03:22,6512.68
2001:03:23,6671.99
2001:03:26,6774.22
2001:03:27,6968.62
2001:03:28,6844.26
2001:03:29,6824.49
2001:03:30,6905.80
2001:04:02,6819.64
2001:04:03,6601.73
2001:04:04,6600.33
2001:04:05,6864.59
2001:04:06,6764.29
2001:04:09,6802.31
2001:04:10,6945.01
2001:04:11,6886.03
2001:04:12,6972.31
2001:04:13,6972.31
2001:04:16,6986.25
2001:04:17,7071.54
2001:04:18,7299.49
2001:04:19,7354.58
2001:04:20,7285.29
2001:04:23,7218.34
2001:04:24,7133.21
2001:04:25,7262.46
2001:04:26,7329.73
2001:04:27,7438.35
2001:04:30,7377.87
2001:05:01,7477.42
2001:05:02,7459.70
2001:05:03,7383.96
2001:05:04,7482.48
2001:05:07,7470.05
2001:05:08,7427.85
2001:05:09,7418.41
2001:05:10,7432.57
2001:05:11,7373.18
2001:05:14,7417.56
2001:05:15,7413.99
2001:05:16,7615.06
2001:05:17,7623.51
2001:05:18,7639.42
2001:05:21,7706.17
2001:05:22,7672.19
2001:05:23,7569.43
2001:05:24,7582.26
2001:05:25,7491.02
2001:05:28,7491.02
2001:05:29,7471.00
2001:05:30,7396.54
2001:05:31,7432.00
2001:06:01,7443.67
2001:06:04,7488.55
2001:06:05,7555.08
2001:06:06,7473.73
2001:06:07,7486.28
2001:06:08,7427.99
2001:06:11,7379.47
2001:06:12,7391.78
2001:06:13,7335.76
2001:06:14,7241.41
2001:06:15,7210.61
2001:06:18,7195.19
2001:06:19,7215.60
2001:06:20,7287.19
2001:06:21,7389.01
2001:06:22,7309.63
2001:06:25,7240.59
2001:06:26,7200.22
2001:06:27,7154.73
2001:06:28,7234.57
2001:06:29,7197.72
2001:07:02,7291.89
2001:07:03,7272.75
2001:07:04,7272.75
2001:07:05,7198.01
2001:07:06,7040.76
2001:07:09,7088.90
2001:07:10,7006.79
2001:07:11,6971.97
2001:07:12,7095.00
2001:07:13,7139.47
2001:07:16,7092.13
2001:07:17,7164.62
2001:07:18,7156.86
2001:07:19,7171.99
2001:07:20,7172.53
2001:07:23,7057.49
2001:07:24,6940.58
2001:07:25,7042.34
2001:07:26,7104.44
2001:07:27,7125.46
2001:07:30,7125.16
2001:07:31,7163.15
2001:08:01,7164.79
2001:08:02,7175.24
2001:08:03,7149.48
2001:08:06,7077.99
2001:08:07,7116.12
2001:08:08,7018.64
2001:08:09,7022.04
2001:08:10,7075.12
2001:08:13,7059.20
2001:08:14,7034.93
2001:08:15,7007.07
2001:08:16,7010.56
2001:08:17,6914.58
2001:08:20,6979.73
2001:08:21,6909.46
2001:08:22,6945.74
2001:08:23,6935.47
2001:08:24,7043.45
2001:08:27,7003.26
2001:08:28,6903.93
2001:08:29,6826.54
2001:08:30,6731.40
2001:08:31,6747.17
2001:09:03,NA
2001:09:04,6771.67
2001:09:05,6776.42
2001:09:06,6621.39
2001:09:07,6482.49
2001:09:10,6536.02
2001:09:11,6536.02
2001:09:12,6536.02
2001:09:13,6536.02
2001:09:14,6536.02
2001:09:17,6250.18
2001:09:18,6227.84
2001:09:19,6137.16
2001:09:20,5951.87
2001:09:21,5857.68
2001:09:24,6077.34
2001:09:25,6147.42
2001:09:26,6157.55
2001:09:27,6255.97
2001:09:28,6382.49
2001:10:01,6392.20
2001:10:02,6470.94
2001:10:03,6530.93
2001:10:04,6496.06
2001:10:05,6493.53
2001:10:08,6432.40
2001:10:09,6431.48
2001:10:10,6558.04
2001:10:11,6611.00
2001:10:12,6568.26
2001:10:15,6569.76
2001:10:16,6603.29
2001:10:17,6523.92
2001:10:18,6465.94
2001:10:19,6482.69
2001:10:22,6574.82
2001:10:23,6533.58
2001:10:24,6517.08
2001:10:25,6587.08
